CustomerID,CustomerName,Segment,Tier,FirstPurchaseDate,LastPurchaseDate,TotalPurchaseValue,NumberOfOrders,AvgOrderValue,PreferredChannel,Region,Country
C1000,Enterprise_Customer_1000,Enterprise,Bronze,2022-01-31,2024-07-20,4971.85,6,828.64,Corporate,North America,Canada
C1001,SMB_Customer_1001,SMB,Bronze,2023-11-16,2024-05-14,1348.65,2,674.32,Online,North America,Canada
C1002,Enterprise_Customer_1002,Enterprise,Bronze,2022-05-01,2024-10-22,3227.93,7,461.13,Corporate,North America,Canada
C1003,SMB_Customer_1003,SMB,Bronze,2023-04-12,2024-09-23,830.65,5,166.13,Online,Asia Pacific,Australia
C1004,SMB_Customer_1004,SMB,Silver,2022-05-27,2024-12-14,5775.26,5,1155.05,Online,Europe,China
C1005,Retail_Customer_1005,Retail,Bronze,2022-01-27,2024-09-09,4566.96,9,507.44,Online,North America,USA
C1006,SMB_Customer_1006,SMB,Bronze,2022-04-04,2024-11-26,4577.62,7,653.95,Retail Store,Asia Pacific,USA
C1007,Retail_Customer_1007,Retail,Silver,2022-04-03,2024-11-17,5337.84,6,889.64,Online,North America,Australia
C1008,SMB_Customer_1008,SMB,Silver,2022-01-24,2024-05-27,5795.18,5,1159.04,Online,North America,USA
C1009,SMB_Customer_1009,SMB,Silver,2022-04-01,2024-02-05,5016.0,5,1003.2,Online,Europe,France
C1010,Enterprise_Customer_1010,Enterprise,Bronze,2022-04-01,2023-05-09,1246.21,4,311.55,Retail Store,Asia Pacific,Canada
C1011,Retail_Customer_1011,Retail,Bronze,2022-05-16,2024-02-28,3179.72,4,794.93,Corporate,North America,Mexico
C1012,Retail_Customer_1012,Retail,Bronze,2023-01-15,2023-09-05,3517.54,4,879.38,Corporate,North America,Mexico
C1013,Retail_Customer_1013,Retail,Silver,2022-02-08,2024-08-14,5227.63,5,1045.53,Online,Europe,Canada
C1014,Enterprise_Customer_1014,Enterprise,Bronze,2022-05-10,2024-09-06,3014.97,6,502.5,Online,Europe,Italy
C1015,SMB_Customer_1015,SMB,Bronze,2022-05-14,2024-03-10,729.15,2,364.58,Distributor,North America,Canada
C1016,Retail_Customer_1016,Retail,Silver,2022-11-09,2024-08-21,7002.08,8,875.26,Online,Europe,Spain
C1017,Retail_Customer_1017,Retail,Bronze,2022-01-12,2024-02-23,4613.54,5,922.71,Distributor,Asia Pacific,Japan
